DSB,ATM_active,ATR_active,CHK1_active,CHK2_active,p53_active,p21_active,PARP_active,RAD51_focus,CellCycleArrest,ApoptosisSignal,SurvivalSignal,Time
0.0,0.0,5.0,5.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.9,0.0
0.1265528782897118,0.006823756107845305,4.852778704868694,4.998438143639581,1.8609321561319225,2.5269762076703195,0.4283787949658199,2.9392042359205885,0.0,0.0,0.0004006979610350649,0.89892800877395,0.24120603015075376
0.24598769835912204,0.026352660010288066,4.769035536738377,4.990509834527874,1.7346826695379742,2.9635246717369728,0.9269680868124841,2.900367591712375,0.0,0.0,0.0010120374325836444,0.8978821808800609,0.4824120603015075
0.3587048205211447,0.057255662960066386,4.74323872159763,4.97998202853051,1.6231542392412774,3.327380571896207,1.4771573430617078,2.8818131241887066,0.0,0.0,0.0018179526250827107,0.8968614655262309,0.7236180904522613
0.46508208657151245,0.09830561371600773,4.770237320390537,4.970111651325826,1.5278194083147318,3.633500817523161,2.064282454738993,2.881968740768207,0.0,0.0,0.002804456945118266,0.8958648300765663,0.964824120603015
0.5654760862949121,0.14837204777144167,4.84523733306196,4.963694733891483,1.4497739051000782,3.894488531380003,2.6769580335044383,2.8993610513958306,0.0,0.0,0.003959394182946665,0.8948912624780159,1.2060301507537687
0.6602233528484694,0.20641444592837274,4.9637792326760914,4.9631115139332005,1.3897846455571834,4.1209498525016555,3.306514358104761,2.9326095717411196,0.0,0.0,0.005272217648778086,0.8939397732780976,1.4472361809045227
0.7496414908052743,0.27147593409404225,5.121716850118442,4.970367795164897,1.3483328611268715,4.321794180889068,3.946522666642204,2.9804212587954297,0.0,0.0,0.00673379423352167,0.8930093972736171,1.6884422110552764
0.8340302408871804,0.3426773950139684,5.315197525561311,4.987132859728088,1.3256528087594306,4.504487442309125,4.592394600522279,3.0415853588416533,0.0,0.0,0.008336230500283277,0.8920991948298769,1.92964824120603
0.9136724846130071,0.4192119681980071,5.5406434592366915,5.014774176733045,1.321766441271632,4.675265886987232,5.2410445913768795,3.1149685517438743,0.0,0.0,0.010072718404598896,0.8912082529039047,2.170854271356784
